model_number,description
65,"Border Fine Arts 'Labrador' (standing, style one), model No. 65 by David Geenty"
85,"Border Fine Arts 'Lord of the River', model No. 85 by Elizabeth Waugh, limited edition */950"
101,"Border Fine Arts 'Suffolk Ewes and Collies', model No. 101 by Ray Ayres"
104,"Border Fine Arts 'Black-faced Ewe and Collie', model No. 104 by Ray Ayres"
107,"Border Fine Arts 'Sow' (large white), model No. 107 by Ray Ayres"
109,"Border Fine Arts 'Reaching For The High Bird' (Spaniels), model No. 109"
113,"Border Fine Arts 'Early Lambs, Late Snow', model No. 113 by Ray Ayres"
116,"Border Fine Arts 'Pull' (clay pigeon shooter), model No. 116 by Ray Ayres"
117,"Border Fine Arts 'Black Faced Ewe' (Style One), model No. 117 by Ray Ayres"
119,"Border Fine Arts 'Suffolk Ewe And Lamb', model No. 119 by Ray Ayres"
122,"Border Fine Arts 'Thoroughbred Mare And Foal' (cantering), model No. 122 by Anne Wall"
141,"Border Fine Arts 'Rainbow Trout', model No. 141 by David Walton"
149,"Border Fine Arts 'Otter', Model No. 149"
151,"Border Fine Arts 'Red Stag', model No. 151 by David Walton"
153,"Border Fine Arts 'Easy Riders' (Man, dog and vehicle), model No. 153 by David Walton"
161,"Border Fine Arts 'Shorthorn Cow', model No. 161 by J A Butler"
163,"Border Fine Arts 'Dairy Bull', model No. 163 by J A Butler"
167,"Border Fine Arts 'Highland Cow And Calf', style one, model No. 167 by Anne Wall"
201,"Border Fine Arts 'Trouble In Store' terrier group, model No. 201"
618,"Border Fine Arts 'Hereford Bull' by Naturecraft, model No. 618"
1244,"Border Fine Arts 'Blackfaced Ewe And Lambs' (style three), model NNo. 1244"
2140,"Border Fine Arts 'Pulling Power', John Deere tractor model No. 2140"
12334,"Border Fine Arts 'Zwartble Ewe And Lambs', model No. 12334 by Ray Ayres, limited edition */350"
81480,"Border Fine Arts 'King Of The River', model No. 81480 by John Brown, limited edition */950"
484369,"Border Fine Arts 'Wren And Brambles', model No. 484369"
541729,"Border Fine Arts 'Long Eared Owl', model No. 541729"
541737,"Border Fine Arts 'Little Owl', model No. 541737 by Russell Willis"
739480,"Border Fine Arts 'Kestral', model No. 739480"
003,"Border Fine Arts 'Badgers' (Pair Fighting), model No. 003 by Victor Hayton"
005,"Border Fine Arts 'Scottish Wildcat', model No. 005"
006,"Border Fine Arts 'Vixen' (walking), model No. 006"
007,"Border Fine Arts 'Roe Buck', model No. 007 by Anne Wall"
008,"Border Fine Arts 'Roe Doe', model No. 008 by Anne Wall"
01708,Border Fine Arts 'A Vintage Harvest' model No. 01708 by Antony Halls and Bob Price
018,"Border Fine Arts 'Mouse On Corn Cob', model No. 018"
020,"Border Fine Arts 'Rabbit' (scratching ear), model No. 020"
024,"Border Fine Arts 'Mouse On Candlestick', model No. 024"
026,"Border Fine Arts 'Mouse On Matchbox', model No. 026"
031,"Border Fine Arts 'Mouse On Peach', model No. 031"
032A,"Border Fine Arts 'Kestrel And Mouse', model No. 032A by Victor Hayton"
041,"Border Fine Arts 'Pheasant Hen And Chicks', model No. 041 by David Geenty"
049,"Border Fine Arts 'Pheasant', style one, model No. 049 by James Harvey"
050,"Border Fine Arts 'Foxhound' (Stalking), model No. 050 by Victor Hayton"
051,"Border Fine Arts 'English Setter', model No. 051 by Anne Wall"
057,"Border Fine Arts 'Bulldog' standing, style one, model No. 057 by David Geenty"
059,"Border Fine Arts 'Irish Setter', standing style one, model No. 059 by David Geenty"
061,"Border Fine Arts 'King Charles Cavalier Spaniel', Standing - Style One, model No. 061 by David Geenty"
067,"Border Fine Arts 'Old English Sheepdog', Seated, model No. 067 by Ray Ayres"
068,"Border Fine Arts 'Terrier And Rabbit', model No. 068 by Anne Wall "
070,"Border Fine Arts 'Thoroughbred Foal' style one, model No. 070 by Anne Wal"
071,"Border Fine Arts 'Donkey Foal', model No. 071 by Anne Wall"
082,"Border Fine Arts 'Tawny Owl', model No. 082 by Ray Ayres"
0835,"Border Fine Arts 'Hereford Cow And Calf', model No.B0835 by Ray Ayres, limited edition */1950"
085,"Border Fine Arts 'Woodcock', model No. 085 by James Harvey "
